student_id,angkatan,program,jenis_kelamin,id_agama,ips_sem1,ips_sem2,ips_sem3,ips_sem4,ipk_sem4,sks_sem1,sks_sem2,sks_sem3,sks_sem4,total_sks_lulus_sem4,failed_courses,failed_in_sem1,repeated_courses,avg_attendance,ips_trend,avg_ips,ips_std,ips_max,ips_min,sks_completion_ratio,semester_count,target
2152285,2015,AP,L,2,3.1,3.0,3.2,3.21,3.13,20,16,20,19,75,0,0,0,,0.11,3.1275,0.0984,3.21,3.0,0.9375,6,1
2152286,2015,AP,P,2,2.9,3.13,3.15,3.32,3.12,20,16,20,19,75,0,0,0,,0.42,3.125,0.1725,3.32,2.9,0.9375,6,1
2152287,2015,AP,P,2,3.0,3.13,3.0,3.11,3.05,20,16,20,19,75,0,0,0,,0.11,3.06,0.0698,3.13,3.0,0.9375,6,1
2152288,2015,AP,L,1,3.0,3.0,3.0,3.21,3.05,20,16,20,19,75,0,0,0,,0.21,3.0525,0.105,3.21,3.0,0.9375,6,1
2152289,2015,AP,P,2,3.1,3.38,3.2,3.21,3.21,20,16,20,19,75,0,0,0,,0.11,3.2225,0.1162,3.38,3.1,0.9375,6,1
2152290,2015,AP,P,1,3.1,3.13,3.3,3.0,3.13,20,16,20,19,75,0,0,0,,-0.1,3.1325,0.1247,3.3,3.0,0.9375,6,1
2152291,2015,AP,L,1,3.1,3.0,3.35,3.32,3.2,20,16,20,19,75,0,0,0,,0.22,3.1925,0.17,3.35,3.0,0.9375,6,1
2152292,2015,AP,P,1,3.0,3.38,3.55,3.32,3.31,20,16,20,19,75,0,0,0,,0.32,3.3125,0.23,3.55,3.0,0.9375,6,1
2152293,2015,AP,L,2,3.0,3.0,3.0,3.11,3.03,20,16,20,19,75,0,0,0,,0.11,3.0275,0.055,3.11,3.0,0.9375,6,1
2152294,2015,AP,P,1,3.3,3.38,0.0,3.0,2.37,20,16,20,20,76,8,0,8,,-0.3,2.42,1.6216,3.38,0.0,0.95,7,0
2152295,2015,AP,L,1,3.0,3.0,3.0,3.0,3.0,20,16,20,19,75,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.9375,6,1
